n.id,n.firstname,n.lastname,n.birthyear,n.deathyear,n.birthplace,n.deathplace,n.sex,n.numCities,n.numCountries,n.numVenues,n.country,n.collective,n.ulan,n.wikidata
"101,""""""Jacob"""""",""""""Epstein"""""",1880,1959,""""""New York"""""",""""""London"""""",""""""M"""""",2,1,2,""""""GB"""""",null,""""""500032047"""""",""""""Q354779"""""""
"102,""""""Adolf"""""",""""""Erbslöh"""""",1881,1947,""""""New York"""""",""""""Icking"""""",""""""M"""""",6,2,8,""""""DE"""""",null,""""""500003079"""""",""""""Q361407"""""""
"103,""""""Thorvald"""""",""""""Erichsen"""""",1868,1939,""""""Trondheim"""""",""""""Christiania (Oslo)"""""",""""""M"""""",2,2,2,""""""NO"""""",null,""""""500082102"""""",""""""Q1027392"""""""
"104,""""""Max"""""",""""""Ernst"""""",1891,1976,""""""Brühl (Rhineland)"""""",""""""Paris"""""",""""""M"""""",3,1,3,""""""DE"""""",null,""""""500115729"""""",""""""Q154842"""""""
"105,""""""Frederick"""""",""""""Etchells"""""",1886,1973,""""""Newcastle upon Tyne"""""",""""""Folkestone"""""",""""""M"""""",3,2,6,""""""GB"""""",null,""""""500115473"""""",""""""Q5497733"""""""
"106,""""""Henri"""""",""""""Evenepoel"""""",1872,1899,""""""Nice"""""",""""""Paris"""""",""""""M"""""",1,1,1,""""""BE"""""",null,""""""500004458"""""",""""""Q2980574"""""""
"107,""""""Aleksandra Aleksandrovna"""""",""""""Exster"""""",1882,1949,""""""Białystok"""""",""""""Fontenay-aux-Roses"""""",""""""F"""""",7,6,5,""""""RU"""""",null,""""""500024229"""""",""""""Q242121"""""""
"108,""""""Anton"""""",""""""Faistauer"""""",1887,1930,""""""Sankt Martin bei Lofer"""""",""""""Vienna"""""",""""""M"""""",2,2,3,""""""AT"""""",null,""""""500025360"""""",""""""Q589241"""""""
"109,""""""Xenia"""""",""""""Boguslawskaja"""""",1892,1971,""""""Saint Petersburg"""""",""""""Paris"""""",""""""F"""""",null,null,null,null,null,""""""NULL"""""",""""""Q4089882"""""""
"110,""""""Marie"""""",""""""Vassilieff"""""",1884,1957,""""""Smolensk"""""",""""""Nogent-sur-Marne"""""",""""""F"""""",null,null,null,""""""RU"""""",null,""""""500005422"""""",""""""Q462767"""""""
"111,""""""Vasiliǐ"""""",""""""Kamenskiǐ"""""",1884,1961,""""""Perm"""""",""""""Moscow"""""",""""""M"""""",null,null,null,""""""RU"""""",null,""""""500127838"""""",""""""Q2629336"""""""
"112,""""""Anna Michajlovna"""""",""""""Kirillova"""""",null,null,null,null,""""""F"""""",1,1,1,""""""RU"""""",null,""""""NULL"""""",null"
"113,""""""Ivan"""""",""""""Klyun"""""",1873,1943,""""""Bolshie Gorki"""""",""""""Moscow"""""",""""""M"""""",null,null,null,""""""RU"""""",null,""""""500001016"""""",""""""Q1988310"""""""
"114,""""""Vera Efimovna"""""",""""""Pestel'"""""",1888,1952,""""""Moscow"""""",""""""Moscow"""""",""""""F"""""",null,null,null,""""""RU"""""",null,""""""500073670"""""",""""""Q15079457"""""""
"115,""""""Lyubov'"""""",""""""Popova"""""",1889,1924,""""""Ivanovskoye"""""",""""""Moscow"""""",""""""F"""""",null,null,null,""""""RU"""""",null,""""""500002046"""""",""""""Q259594"""""""
