a.id,a.firstname,a.lastname,e.id,e.title,count(r);
"7,""""""Piet"""""",""""""Mondrian"""""",26,""""""15e Jaarlijksche Tentoonstelling van Kunstwerken"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",716,""""""Tentoonstelling Alma, Le Fauconnier en Mondrian"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",727,""""""Tentoonstelling der Werken van Lodewijk Schelfhout, Piet Mondriaan, Jan Sluyters, Leo Gestel, Le Fauconnier, J. C. van Epen, Architect"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",740,""""""Keuze=Tentoonstelling van Kunstwerken van levende Hollandsche Meesters"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",165,""""""18e Jaarlijksche Tentoonstelling van Kunstwerken van Leden der Vereeniging"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",1247,""""""Gemeentelijke Tentoonstelling van Kunstwerken van Levende Meesters."""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",1259,""""""Stedelijke Tentoonstelling van Kunstwerken van Levende Meesters"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",1397,""""""Tentoonstelling van Teekeningen en Beeldhouwwerken"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",591,""""""Der Sturm. Erster Deutscher Herbstsalon"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",609,""""""Moderne Kunst Kring (Cercle de l'Art Moderne)"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",220,""""""Negentiende Jaarlijksche Tentoonstelling van Kunstwerken van Leden der Vereeniging"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",377,""""""Tentoonstelling van Schilderijn en Teekeningen van Walchersche Schilders"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",384,""""""Internationale Tentoonstelling van Moderne Kunst. Moderne Kunst Kring"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",462,""""""Internationale Kunstausstellung des Sonderbundes Westdeutscher Kunstfreunde und Künstler zu Cöln"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",470,""""""Tentoonstelling van Schilderijen"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",490,""""""Moderne Kunst Kring (Cercle de l'art moderne). Ouvrages de Peinture, Sculpture, Dessin, Gravure"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",288,""""""20ste Jaarlijksche Tentoonstelling van Kunstwerken der Vereeniging St. Lucas"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",637,""""""45. výstava S. V. U. Manes v Praze. Moderní umění"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",102,""""""Tentoonstelling van Kunstwerken Vervaardigd door Leden der Maatschappij"""""",1";
"7,""""""Piet"""""",""""""Mondrian"""""",103,""""""Zeventiende Jaarlijksche Tentoonstelling van Kunstwerken vaan Leden der Vereeniging"""""",1";
"8,""""""Alexander"""""",""""""Archipenko"""""",798,""""""Der Sturm. Neunzehnte Ausstellung. Expressionisten / Kubisten / Futuristen"""""",1";
"8,""""""Alexander"""""",""""""Archipenko"""""",807,""""""Sammlung Walden. Gemälde, Zeichnungen, Plastiken"""""",1";
"8,""""""Alexander"""""",""""""Archipenko"""""",808,""""""Der Sturm. Dreiundzwanzigste Ausstellung."""""",1";
"8,""""""Alexander"""""",""""""Archipenko"""""",1101,""""""Exposition d'Œuvres de Sculpture et de Peinture du Salon des Artistes Indépendants de Paris"""""",1";
"8,""""""Alexander"""""",""""""Archipenko"""""",534,""""""International Exhibition of Modern Art [Armory Show]"""""",1";
"8,""""""Alexander"""""",""""""Archipenko"""""",554,""""""International Exhibition of Modern Art [Armory Show]"""""",1";
"8,""""""Alexander"""""",""""""Archipenko"""""",663,""""""Esposizione Libera Futurista Internazionale / Pittori e Scultori / Italiani - Russi - Inglesi - Belgi - Nordamericani"""""",1";
"8,""""""Alexander"""""",""""""Archipenko"""""",691,""""""Der Sturm. Sechsundzwanzigste Ausstellung. Marc Chagall"""""",1";
"8,""""""Alexander"""""",""""""Archipenko"""""",588,""""""Der Sturm. Siebzehnte Ausstellung. Alexandre Archipenko"""""",1";
"8,""""""Alexander"""""",""""""Archipenko"""""",591,""""""Der Sturm. Erster Deutscher Herbstsalon"""""",1";
"8,""""""Alexander"""""",""""""Archipenko"""""",491,""""""Salon de la \""""Section d'Or\"""""""""",1";
"12,""""""Hans"""""",""""""Arp"""""",472,""""""Moderner Bund. [II. Ausstellung]"""""",1";
"12,""""""Hans"""""",""""""Arp"""""",485,""""""Neue Kunst. Erste Gesamt-Ausstellung"""""",1";
"12,""""""Hans"""""",""""""Arp"""""",422,""""""Die zweite Ausstellung der Redaktion. Der Blaue Reiter. Schwarz-Weiss"""""",1";
"12,""""""Hans"""""",""""""Arp"""""",798,""""""Der Sturm. Neunzehnte Ausstellung. Expressionisten / Kubisten / Futuristen"""""",1";
"12,""""""Hans"""""",""""""Arp"""""",807,""""""Sammlung Walden. Gemälde, Zeichnungen, Plastiken"""""",1";
"12,""""""Hans"""""",""""""Arp"""""",909,""""""I. Ausstellung des Modernen Bundes"""""",1";
"12,""""""Hans"""""",""""""Arp"""""",591,""""""Der Sturm. Erster Deutscher Herbstsalon"""""",1";
"12,""""""Hans"""""",""""""Arp"""""",595,""""""Erste Ausstellung"""""",1";
"12,""""""Hans"""""",""""""Arp"""""",613,""""""Der Sturm. Zwanzigste Ausstellung. Albert Bloch"""""",1";
"12,""""""Hans"""""",""""""Arp"""""",549,""""""V. Kollektiv-Ausstellung. Moderner Bund. Schweiz"""""",1";
"12,""""""Hans"""""",""""""Arp"""""",550,""""""Der Sturm. Fünfzehnte Ausstellung. Der Moderne Bund Schweiz"""""",1";
"13,""""""Lawrence"""""",""""""Atkinson"""""",1292,""""""Exhibition of Pictures by S. J. Peploe, J. D. Fergusson, Joseph Simpson, Anne E. Rice, Jessie Dismorr, Georges Banks, Ethel Wright, C. King, L. Atkinson, Fred. F. Foottet"""""",1";
"13,""""""Lawrence"""""",""""""Atkinson"""""",724,""""""Vorticist Exhibition"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",747,""""""Салон. Интернациональная выстака картин, скульптуры, гравюры и рисунков"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",536,""""""Мир искусства"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",42,""""""Художественная выставка „Мир Искусства“"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",307,""""""Les Artistes Russes, Décors et Costumes de théâtre et Tableaux"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",758,""""""Салон. Интернациональная выставка картин, скульптуры, гравюры и рисунков"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",74,""""""Russische Kunstausstellung 1906"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",253,""""""VII Выставка Картин Союза Русских Художников"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",259,""""""Выставка Картин Союза Русских Художников"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",431,""""""XL. výstava. S. V. U. Manes. Mir iskusstva. Sdružení ruských umělců v Petrohradě"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",433,""""""La Libre Esthétique. La dix-neuvième Exposition à Bruxelles"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",109,""""""VII. Esposizione Internazionale d’Arte della Città di Venezia"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",162,""""""XXXI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession. Moderne Russische Kunst"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",166,""""""Выставка \""""Современных течений в искусстве\"""""""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",891,""""""XV. Jahrgang. 1912-13. Fünfte Ausstellung"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",1470,""""""Выставка Картин Союза Русских Художников"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",11,""""""Выставка картин \""""Союз Русских Художников\"""""""""",1";
